日期,發佈單位,標題,url
2023-08-22,通識教育中心,【活動宣傳】趁著暑假來參加通識抵萬金系列活動，有機會獲得豐富好禮唷！,https://bulletin.ntust.edu.tw/p/406-1045-115865\,r1391.php?Lang=zh-tw
2023-08-22,通識教育中心,【活動宣傳】2023暑假作業開跑啦！一起來看影片、填問卷、抽禮券,https://bulletin.ntust.edu.tw/p/406-1045-115864\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【轉知】社團法人台灣評鑑協會舉辦「2023年國際研討會」活動,https://bulletin.ntust.edu.tw/p/406-1045-116144\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【轉知】國立成功大學舉辦「從研究資料儲存庫出發的研究資料管理實務(Fromdatarepositorytoresearchdatamanagementpractice)」演講,https://bulletin.ntust.edu.tw/p/406-1045-116143\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【轉知】國立政治大學舉辦「全國資訊科技跨域教學經驗交流會——跨域教與學：資訊科技驅動的教育創新之路」,https://bulletin.ntust.edu.tw/p/406-1045-116142\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【轉知】國立臺中科技大學辦理「科技導入數位教材工作坊－與AI共創：結合AI畫畫與現代詩視覺藝術」線上工作坊,https://bulletin.ntust.edu.tw/p/406-1045-116140\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【轉知】教育部委託財團法人金屬工業研究發展中心辦理「私立高級中等以上學校人力躍升培訓及媒合平臺」實務講座,https://bulletin.ntust.edu.tw/p/406-1045-116138\,r1391.php?Lang=zh-tw
2023-08-22,研究發展處學術推展中心,【計畫徵求】國立臺灣大學系統公開徵求113年度「『國立臺灣大學系統』年輕學者創新性合作計畫」，自112年8月22日至112年10月13日止受理申請，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-116111\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【轉知】臺北醫學大學舉辦【BIODESIGN臨床需求洞察與創新應用】,https://bulletin.ntust.edu.tw/p/406-1045-116137\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【校內實體講座】112.10.05(四)改變說服力的簡報心法,https://bulletin.ntust.edu.tw/p/406-1045-115551\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【校內實體講座】112.09.22(五)112學年度第1學期一般課程教學助理研習會(本研習會全程中文講述),https://bulletin.ntust.edu.tw/p/406-1045-115480\,r1391.php?Lang=zh-tw
2023-08-22,教務處教學發展中心,【校內實體講座】112.09.07(四)如何撰寫教學實踐研究計畫,https://bulletin.ntust.edu.tw/p/406-1045-115428\,r1391.php?Lang=zh-tw
2023-08-22,產學創新學院,【轉知】2023台達年輕學者科技講座：每名每年新台幣100萬元，計三年,https://bulletin.ntust.edu.tw/p/406-1045-116128\,r1391.php?Lang=zh-tw
2023-08-22,產學處創新育成中心,【校內講座】「創業家來了!火星貓科技」敬備餐點,https://bulletin.ntust.edu.tw/p/406-1045-116134\,r1391.php?Lang=zh-tw
2023-08-22,產學處創新育成中心,【競賽資訊轉知】「2023第五屆LINECHATBOT對話機器人設計大賽」,https://bulletin.ntust.edu.tw/p/406-1045-116133\,r1391.php?Lang=zh-tw
2023-08-22,產學處創新育成中心,轉發國發會計劃之地方創生北區輔導中心「離「島」更近-馬祖空間運用設計思考工作坊」,https://bulletin.ntust.edu.tw/p/406-1045-116131\,r1391.php?Lang=zh-tw
2023-08-22,電子計算機中心,【資安通知】請勿安裝與使用非法軟體，導致資安事件發生。,https://bulletin.ntust.edu.tw/p/406-1045-116130\,r1391.php?Lang=zh-tw
2023-08-22,電子計算機中心,轉知數位發展部資通安全署資安攻防演練常見缺失及資安威脅態樣與建議,https://bulletin.ntust.edu.tw/p/406-1045-116129\,r1391.php?Lang=zh-tw
2023-08-22,電子計算機中心,轉知數位發展部資通安全署辦理「資通安全管理法修法工作坊（第1場）」,https://bulletin.ntust.edu.tw/p/406-1045-116127\,r1391.php?Lang=zh-tw
2023-08-21,總務處營繕組,【施工公告】工程二館屋頂防水整修工程,https://bulletin.ntust.edu.tw/p/406-1045-116123\,r1391.php?Lang=zh-tw
2023-08-21,研究發展處計畫業務服務中心,【NSTC計畫徵求】113年度「奈米科技創新應用計畫」構想書,https://bulletin.ntust.edu.tw/p/406-1045-116122\,r1391.php?Lang=zh-tw
2023-08-21,研究發展處計畫業務服務中心,【訊息轉知】國立清華大學研究倫理辦公室與原民會人體研究計畫諮詢取得原住民族同意推動計畫專管中心合作辦理「原住民族研究倫理教育練課程」，歡迎有興趣者報名參加，請查照。,https://bulletin.ntust.edu.tw/p/406-1045-116117\,r1391.php?Lang=zh-tw
2023-08-21,教務處教學發展中心,【轉知】國立宜蘭大學辦理「磨課師AI遠距評量議題實作」工作坊,https://bulletin.ntust.edu.tw/p/406-1045-116101\,r1391.php?Lang=zh-tw
2023-08-21,教務處教學發展中心,【轉知】國立陽明交通大學辦理112年度教學實踐研究區域基地計畫「超越教室：我的教學實踐與升等之旅」線上講座資訊,https://bulletin.ntust.edu.tw/p/406-1045-116100\,r1391.php?Lang=zh-tw
2023-08-21,學務處活動組,【學生活動組】113年度第1梯次教育部學產基金補助學校培訓具特殊專長弱勢學生計畫案,https://bulletin.ntust.edu.tw/p/406-1045-116098\,r1391.php?Lang=zh-tw
